epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5643,0.01993,129.051,0.00602,0,0,0,0,0,157.719,0,6.25e-05,6.25e-05,6.25e-05
2,49.9212,1.28418,126.617,0.24758,0,0,0,0,0.00056,157.735,0.00016,0.000134777,0.000134777,0.000134777
3,76.106,4.04847,76.8204,0.80851,0,0,0,0,2.79121,13.9915,0.86401,0.000204085,0.000204085,0.000204085
4,100.833,4.92446,33.7642,0.95248,0,0,0,0,3.44572,14.4657,0.87222,0.000270422,0.000270422,0.000270422
5,125.147,4.9719,52.688,0.88568,0,0,0,0,2.62018,12.3228,0.85024,0.00033379,0.00033379,0.00033379
6,149.451,5.0492,32.279,0.89612,0,0,0,0,4.91516,19.277,0.9026,0.000394188,0.000394188,0.000394188
7,174.738,4.44112,20.9619,0.89211,0,0,0,0,4.42943,18.1208,0.94451,0.000451615,0.000451615,0.000451615
8,201.808,4.6114,19.9872,0.85063,0,0,0,0,4.2532,17.7317,0.92452,0.000506072,0.000506072,0.000506072
9,233.539,4.42147,22.1853,0.8545,0,0,0,0,4.46865,18.2166,0.90256,0.00055756,0.00055756,0.00055756
10,263.95,4.47154,21.8091,0.8792,0,0,0,0,5.97034,29.2077,0.95283,0.000606078,0.000606078,0.000606078
11,291.861,4.46128,16.1058,0.86047,0,0,0,0,5.40575,26.7073,1.01007,0.000651625,0.000651625,0.000651625
12,318.432,4.26504,24.4313,0.796,0,0,0,0,4.04344,15.1967,0.8942,0.000694203,0.000694203,0.000694203
13,345.958,4.38434,21.9707,0.80441,0,0,0,0,3.47594,13.231,0.87696,0.00073381,0.00073381,0.00073381
14,373.87,4.25521,20.1731,0.86795,0,0,0,0,3.47318,14.4518,0.87838,0.000770448,0.000770448,0.000770448
15,401.434,4.50402,15.546,0.85495,0,0,0,0,3.77825,22.0587,0.87963,0.000804115,0.000804115,0.000804115
16,428.37,4.53847,16.4945,0.85327,0,0,0,0,3.62543,23.954,0.88292,0.000834813,0.000834813,0.000834813
17,454.993,4.42665,17.2117,0.86566,0,0,0,0,3.60459,12.9336,0.88624,0.000854,0.000854,0.000854
18,483.722,4.49215,18.2304,0.87345,0,0,0,0,4.41435,14.0902,0.92419,0.00082925,0.00082925,0.00082925
19,512.084,4.515,16.0252,0.82944,0,0,0,0,4.29181,13.6993,0.91708,0.0008045,0.0008045,0.0008045
20,539.232,4.16919,13.8727,0.83784,0,0,0,0,4.1957,13.5559,0.89196,0.00077975,0.00077975,0.00077975
21,567.212,4.33882,17.4181,0.89627,0,0,0,0,4.03856,12.8134,0.88508,0.000755,0.000755,0.000755
22,593.103,4.52132,23.1585,0.80298,0,0,0,0,3.84959,11.8803,0.88047,0.00073025,0.00073025,0.00073025
23,619.595,4.32174,15.5199,0.83511,0,0,0,0,3.46922,11.2243,0.86998,0.0007055,0.0007055,0.0007055
24,645.98,3.81866,16.1981,0.8514,0,0,0,0,3.11256,10.4308,0.85942,0.00068075,0.00068075,0.00068075
25,673.166,4.22975,20.8895,0.82546,0,0,0,0,3.57213,10.8846,0.86855,0.000656,0.000656,0.000656
26,701.461,4.59213,20.7452,0.82873,0,0,0,0,3.99457,11.3368,0.89275,0.00063125,0.00063125,0.00063125
27,728.698,4.26481,16.4544,0.79594,0,0,0,0,4.02292,11.308,0.89628,0.0006065,0.0006065,0.0006065
28,756.943,4.16197,16.5634,0.86477,0,0,0,0,3.48801,10.2278,0.87795,0.00058175,0.00058175,0.00058175
29,783.01,4.46986,16.4036,0.8455,0,0,0,0,3.44138,10.0891,0.87258,0.000557,0.000557,0.000557
30,810.62,4.45558,13.7695,0.85945,0,0,0,0,3.75616,10.3899,0.88187,0.00053225,0.00053225,0.00053225
31,837.168,4.48141,15.8442,0.87197,0,0,0,0,3.8021,10.4249,0.88447,0.0005075,0.0005075,0.0005075
32,865.413,4.40051,12.3501,0.87328,0,0,0,0,3.6786,10.0216,0.86914,0.00048275,0.00048275,0.00048275
33,893.373,4.62534,14.7742,0.81063,0,0,0,0,3.5903,9.8241,0.86509,0.000458,0.000458,0.000458
34,919.807,4.37453,12.2499,0.80406,0,0,0,0,3.46059,9.49551,0.86282,0.00043325,0.00043325,0.00043325
35,946.977,4.60684,16.4518,0.82392,0,0,0,0,3.483,9.45479,0.8631,0.0004085,0.0004085,0.0004085
36,974.328,4.27665,11.8734,0.87823,0,0,0,0,3.5415,9.45678,0.86631,0.00038375,0.00038375,0.00038375
37,1001.19,4.273,13.3437,0.86218,0,0,0,0,3.54695,9.44274,0.86653,0.000359,0.000359,0.000359
