epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3635,2.37465,2.70313,1.71812,0.01207,0.25,0.04309,0.00668,3.41361,3.51336,2.80701,2.5e-05,2.5e-05,2.5e-05
2,28.0562,1.90447,2.90538,1.61852,0.31783,0.25625,0.11391,0.03745,2.29321,2.96702,2.03882,6.18813e-05,6.18813e-05,6.18813e-05
3,42.3013,1.30622,2.58182,1.43162,0.55034,0.6625,0.56045,0.25645,1.25801,2.40998,1.52131,9.802e-05,9.802e-05,9.802e-05
4,56.2448,1.17105,2.4408,1.39757,0.6323,0.675,0.80476,0.52985,0.91996,2.03007,1.33533,0.000133416,0.000133416,0.000133416
5,70.3774,0.95046,1.89539,1.18725,0.71748,0.89059,0.85384,0.49675,1.32116,1.63318,1.37258,0.00016807,0.00016807,0.00016807
6,83.7801,0.91751,1.74471,1.12225,0.73928,0.97099,0.88445,0.51021,1.42416,1.45567,1.39824,0.000201981,0.000201981,0.000201981
7,97.2437,0.7905,1.3982,1.04004,0.79404,0.99948,0.88534,0.59689,1.04547,1.30431,1.20842,0.00023515,0.00023515,0.00023515
8,110.283,0.74439,1.25991,1.00708,0.80897,1,0.8801,0.65939,0.85832,1.22977,1.12107,0.000267576,0.000267576,0.000267576
9,123.79,0.76436,1.18745,1.04267,0.82553,0.98622,0.89523,0.7746,0.68316,1.16755,1.01693,0.00029926,0.00029926,0.00029926
10,136.997,0.74642,1.08242,1.00963,0.83029,0.956,0.90329,0.76419,0.74747,1.24148,1.02658,0.000330201,0.000330201,0.000330201
11,150.247,0.66869,1.04836,0.95787,0.73565,0.94481,0.932,0.7417,0.91472,1.44328,1.10951,0.0003604,0.0003604,0.0003604
12,163.604,0.60589,0.88981,0.92933,0.7739,0.95952,0.95079,0.79495,0.84921,1.27822,1.06122,0.000389856,0.000389856,0.000389856
13,176.936,0.63191,0.89974,0.9789,0.8524,0.97115,0.97214,0.8791,0.54317,1.006,0.93146,0.00041857,0.00041857,0.00041857
14,190.406,0.63214,0.84354,0.95528,0.84138,0.89526,0.97506,0.86736,0.60013,1.1462,0.9443,0.000446541,0.000446541,0.000446541
15,204.482,0.61554,0.84804,0.96368,0.85432,0.99913,0.98445,0.84489,0.72177,1.00556,1.0043,0.00047377,0.00047377,0.00047377
16,217.587,0.62155,0.81763,0.96383,0.89904,0.97879,0.98392,0.8788,0.63952,0.82221,0.95693,0.000500256,0.000500256,0.000500256
17,230.999,0.59922,0.75852,0.92326,0.8828,1,0.97,0.83661,0.66788,0.77777,0.95859,0.000526,0.000526,0.000526
18,243.853,0.52119,0.77169,0.88858,0.87624,1,0.96788,0.83611,0.66605,0.78215,0.95208,0.000551001,0.000551001,0.000551001
19,256.993,0.59271,0.72285,0.93085,0.86841,1,0.97485,0.86586,0.57123,0.73369,0.90926,0.00057526,0.00057526,0.00057526
20,270.642,0.52021,0.68286,0.90198,0.89123,0.96365,0.98472,0.88869,0.543,0.69883,0.89455,0.000598776,0.000598776,0.000598776
21,283.908,0.51395,0.65316,0.90566,0.91249,0.99508,0.99167,0.89052,0.57492,0.69099,0.90776,0.00062155,0.00062155,0.00062155
22,296.939,0.53125,0.661,0.9136,0.91699,1,0.995,0.89987,0.5446,0.71436,0.89563,0.000643581,0.000643581,0.000643581
23,309.743,0.49253,0.61576,0.87133,0.92062,1,0.995,0.89682,0.5453,0.76351,0.89778,0.00066487,0.00066487,0.00066487
24,322.535,0.52392,0.62544,0.90843,0.905,1,0.995,0.90979,0.51707,0.69972,0.88168,0.000685416,0.000685416,0.000685416
25,335.311,0.50932,0.62753,0.88183,0.8581,0.98994,0.995,0.89289,0.54109,0.6482,0.88914,0.00070522,0.00070522,0.00070522
26,348.512,0.49253,0.63935,0.87928,0.84661,0.97395,0.995,0.8842,0.60261,0.70534,0.9226,0.000724281,0.000724281,0.000724281
27,361.721,0.48759,0.5825,0.85394,0.89313,0.93271,0.995,0.88811,0.62494,0.70841,0.94044,0.0007426,0.0007426,0.0007426
28,374.635,0.4902,0.57825,0.87198,0.90374,1,0.995,0.90167,0.5552,0.64947,0.90182,0.000760176,0.000760176,0.000760176
29,387.548,0.50353,0.54235,0.87806,0.90374,1,0.995,0.90167,0.5552,0.64947,0.90182,0.00077701,0.00077701,0.00077701
30,400.391,0.49322,0.55769,0.89645,0.9836,1,0.995,0.90229,0.44858,0.57287,0.85348,0.000793101,0.000793101,0.000793101
31,413.353,0.48776,0.55564,0.88491,0.98984,1,0.995,0.90474,0.47241,0.55824,0.86256,0.00080845,0.00080845,0.00080845
32,426.571,0.48855,0.51544,0.88708,0.98766,1,0.995,0.91895,0.51629,0.66188,0.88865,0.000823056,0.000823056,0.000823056
33,439.425,0.46009,0.59012,0.86058,0.98766,1,0.995,0.91895,0.51629,0.66188,0.88865,0.00083692,0.00083692,0.00083692
34,452.959,0.46921,0.5223,0.87939,0.99014,1,0.995,0.90898,0.52558,0.63699,0.89615,0.000841625,0.000841625,0.000841625
35,467.75,0.47277,0.56534,0.88345,0.98899,1,0.995,0.92376,0.47072,0.56328,0.87072,0.00082925,0.00082925,0.00082925
36,483.056,0.49586,0.53067,0.88942,0.98831,1,0.995,0.93505,0.41001,0.50208,0.83873,0.000816875,0.000816875,0.000816875
37,496.84,0.47642,0.56957,0.89252,0.98831,1,0.995,0.93505,0.41001,0.50208,0.83873,0.0008045,0.0008045,0.0008045
38,510.672,0.46807,0.50784,0.85777,0.99004,1,0.995,0.91636,0.41768,0.49861,0.83828,0.000792125,0.000792125,0.000792125
39,524.751,0.45818,0.55109,0.88634,0.99115,0.97526,0.995,0.92285,0.46069,0.51303,0.85472,0.00077975,0.00077975,0.00077975
40,539.303,0.46788,0.52115,0.86147,0.98195,0.97782,0.995,0.92218,0.42679,0.52883,0.83984,0.000767375,0.000767375,0.000767375
41,552.94,0.45078,0.5444,0.87843,0.98195,0.97782,0.995,0.92218,0.42679,0.52883,0.83984,0.000755,0.000755,0.000755
42,567.569,0.45886,0.49896,0.87417,0.99159,1,0.995,0.92578,0.36947,0.46632,0.82252,0.000742625,0.000742625,0.000742625
43,580.372,0.47348,0.53401,0.84907,0.99229,1,0.995,0.92858,0.37369,0.44843,0.8209,0.00073025,0.00073025,0.00073025
44,592.929,0.45286,0.48512,0.87222,0.99258,1,0.995,0.92725,0.40046,0.44347,0.83283,0.000717875,0.000717875,0.000717875
45,605.783,0.43292,0.48456,0.83527,0.99258,1,0.995,0.92725,0.40046,0.44347,0.83283,0.0007055,0.0007055,0.0007055
46,618.458,0.47372,0.48233,0.88809,0.99235,1,0.995,0.93297,0.42618,0.44841,0.84113,0.000693125,0.000693125,0.000693125
47,631.225,0.42742,0.4611,0.8427,0.9931,1,0.995,0.92103,0.38465,0.43831,0.82257,0.00068075,0.00068075,0.00068075
48,643.745,0.43014,0.46957,0.84371,0.99378,1,0.995,0.92698,0.37111,0.43452,0.81518,0.000668375,0.000668375,0.000668375
49,656.1,0.42067,0.44892,0.86023,0.99378,1,0.995,0.92698,0.37111,0.43452,0.81518,0.000656,0.000656,0.000656
50,668.46,0.41954,0.48501,0.86714,0.99399,1,0.995,0.93654,0.37286,0.42048,0.81606,0.000643625,0.000643625,0.000643625
51,681.631,0.42893,0.45102,0.853,0.99379,1,0.995,0.93753,0.36947,0.4075,0.81646,0.00063125,0.00063125,0.00063125
52,695.521,0.3998,0.461,0.84033,0.99261,1,0.995,0.94097,0.35718,0.40016,0.81206,0.000618875,0.000618875,0.000618875
53,708.607,0.40148,0.42054,0.83073,0.99261,1,0.995,0.94097,0.35718,0.40016,0.81206,0.0006065,0.0006065,0.0006065
54,721.857,0.40701,0.42838,0.83971,0.99127,1,0.995,0.94203,0.33913,0.39101,0.806,0.000594125,0.000594125,0.000594125
55,735.223,0.39917,0.43085,0.84936,0.99084,1,0.995,0.93951,0.34242,0.38752,0.80683,0.00058175,0.00058175,0.00058175
56,749.42,0.41045,0.44816,0.84181,0.99139,1,0.995,0.93504,0.35633,0.38724,0.81186,0.000569375,0.000569375,0.000569375
57,763.601,0.397,0.42514,0.8321,0.99139,1,0.995,0.93504,0.35633,0.38724,0.81186,0.000557,0.000557,0.000557
58,777.5,0.40799,0.42057,0.83989,0.99203,1,0.995,0.94346,0.36393,0.38459,0.81536,0.000544625,0.000544625,0.000544625
