epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9917,3.5439,5.377,1.50945,0.00052,0.08824,0.0021,0.00026,2.2852,5.38601,0.92334,7.5e-05,7.5e-05,7.5e-05
2,54.9668,2.26956,3.98457,0.99734,0.00011,0.01471,0.0138,0.00276,1.99166,5.0842,0.85532,0.000160891,0.000160891,0.000160891
3,82.2269,2.16353,3.32661,0.96006,0.00011,0.01471,0.00017,2e-05,2.17148,5.4707,0.87233,0.00024505,0.00024505,0.00024505
4,109.554,1.97411,2.6479,0.90537,0,0,0,0,1.64483,4.82463,0.78957,0.000327476,0.000327476,0.000327476
5,136.905,1.72678,2.24372,0.8841,0,0,0,0,1.72697,4.81896,0.79797,0.00040817,0.00040817,0.00040817
6,164.826,1.78664,2.22997,0.88359,0,0,0,0,1.80578,4.74467,0.83525,0.000487131,0.000487131,0.000487131
7,192.207,1.57198,2.10945,0.83266,0.00022,0.03554,0.00038,5e-05,1.36695,4.41836,0.77905,0.00056436,0.00056436,0.00056436
8,220.77,1.41409,1.78282,0.83888,0,0,0,0,1.27177,4.29862,0.76953,0.000639856,0.000639856,0.000639856
9,249.325,1.38379,1.77854,0.83891,0,0,0,0,1.24598,4.14669,0.76305,0.00071362,0.00071362,0.00071362
10,276.948,1.36087,1.6052,0.83587,0.00194,0.15396,0.05045,0.03782,1.24285,4.02968,0.74381,0.000785651,0.000785651,0.000785651
11,305.261,1.36292,1.55737,0.84027,0.02022,0.77083,0.62605,0.38744,1.16764,3.69315,0.75592,0.00085595,0.00085595,0.00085595
12,335.537,1.20896,1.39024,0.84101,0.0227,0.97917,0.95177,0.60337,1.11705,3.48889,0.75867,0.000924516,0.000924516,0.000924516
13,363.67,1.18998,1.34779,0.84359,0.02514,1,0.93925,0.60866,1.12214,3.36005,0.76963,0.00099135,0.00099135,0.00099135
14,390.797,1.22813,1.28045,0.83434,0.02862,1,0.97517,0.69372,1.02213,3.21017,0.75772,0.00105645,0.00105645,0.00105645
15,421.132,1.1294,1.20243,0.8134,0.88563,0.86822,0.94415,0.68857,1.03324,2.95541,0.75478,0.00107675,0.00107675,0.00107675
16,450.02,1.10297,1.06695,0.81949,0.9954,0.29221,0.83559,0.55405,0.97872,2.90008,0.76241,0.00106437,0.00106437,0.00106437
17,478.628,1.1778,1.30697,0.83551,0.74163,0.32255,0.91507,0.61076,1.00669,2.96382,0.77082,0.001052,0.001052,0.001052
18,505.627,1.19194,1.11505,0.82042,0.96225,0.76749,0.99356,0.7002,0.9279,2.29292,0.75583,0.00103962,0.00103962,0.00103962
19,533.494,1.19246,1.12532,0.79746,0.92961,0.69245,0.9587,0.65442,1.00056,2.24749,0.75948,0.00102725,0.00102725,0.00102725
20,561.134,1.12566,1.14433,0.83354,0.91275,0.83305,0.94982,0.61691,1.14731,1.88497,0.77288,0.00101488,0.00101488,0.00101488
21,589.831,1.25192,1.04468,0.82599,0.9416,0.9313,0.99181,0.67427,1.01579,1.64174,0.76198,0.0010025,0.0010025,0.0010025
22,617.876,1.23582,1.10656,0.81541,0.97991,0.99738,0.995,0.65807,1.09241,1.34238,0.75974,0.000990125,0.000990125,0.000990125
23,645.951,1.14813,1.13637,0.81929,0.98231,1,0.995,0.71014,0.9003,1.22353,0.74718,0.00097775,0.00097775,0.00097775
24,673.969,1.12827,0.99227,0.81185,0.98508,1,0.995,0.68518,1.1072,1.28397,0.75239,0.000965375,0.000965375,0.000965375
25,701.551,1.04134,0.9734,0.80776,0.97929,0.99662,0.995,0.7289,0.91143,1.16838,0.74535,0.000953,0.000953,0.000953
26,729.032,1.0652,0.98289,0.82285,0.98156,1,0.995,0.67202,0.9893,1.15982,0.74398,0.000940625,0.000940625,0.000940625
27,756.633,1.01187,0.87248,0.82263,0.9574,1,0.995,0.69561,0.96623,1.18528,0.75406,0.00092825,0.00092825,0.00092825
28,784.201,1.04616,0.97583,0.81119,0.97649,1,0.995,0.74056,0.8977,1.16246,0.75358,0.000915875,0.000915875,0.000915875
29,812.296,1.10497,0.91368,0.81067,0.96019,0.98789,0.995,0.7056,0.90495,1.12271,0.74567,0.0009035,0.0009035,0.0009035
30,839.456,1.09163,0.91225,0.82945,0.97094,0.99141,0.995,0.6706,1.06298,1.02658,0.76125,0.000891125,0.000891125,0.000891125
31,866.851,1.18078,0.93841,0.82764,0.98457,1,0.995,0.70545,0.89195,0.9684,0.74872,0.00087875,0.00087875,0.00087875
32,894.24,1.07424,0.87221,0.82535,0.97899,1,0.995,0.68596,0.92517,1.04203,0.74623,0.000866375,0.000866375,0.000866375
33,921.994,1.08822,0.88474,0.79313,0.97826,1,0.995,0.74678,0.82779,0.98704,0.75033,0.000854,0.000854,0.000854
34,949.596,1.23267,0.848,0.83303,0.99049,1,0.995,0.70066,1.09136,0.99068,0.76835,0.000841625,0.000841625,0.000841625
35,977.608,1.13702,0.91506,0.78482,0.98694,1,0.995,0.6512,0.99653,0.97582,0.74337,0.00082925,0.00082925,0.00082925
36,1007.07,1.25914,0.91687,0.82974,0.97587,1,0.995,0.6161,1.07202,1.01613,0.74664,0.000816875,0.000816875,0.000816875
37,1037.6,1.08104,0.89403,0.82202,0.98084,0.99883,0.995,0.71917,0.84544,0.93849,0.73953,0.0008045,0.0008045,0.0008045
38,1067.39,1.03187,0.83671,0.81029,0.98359,0.99532,0.995,0.79325,0.80645,0.83553,0.74418,0.000792125,0.000792125,0.000792125
39,1097.6,0.97892,0.80518,0.82402,0.98897,1,0.995,0.74098,0.88,0.8435,0.73772,0.00077975,0.00077975,0.00077975
40,1128,0.96043,0.83016,0.80798,0.98514,1,0.995,0.77802,0.78704,0.82992,0.736,0.000767375,0.000767375,0.000767375
41,1155.92,0.88538,0.78036,0.78244,0.97529,1,0.995,0.78434,0.77394,0.84633,0.73808,0.000755,0.000755,0.000755
42,1184.88,0.89,0.74599,0.80748,0.97158,1,0.995,0.75952,0.81259,0.84356,0.74035,0.000742625,0.000742625,0.000742625
43,1213.8,0.89931,0.76729,0.78842,0.98956,1,0.995,0.79187,0.79385,0.79072,0.74012,0.00073025,0.00073025,0.00073025
44,1242.38,0.94847,0.73164,0.81872,0.99299,0.99811,0.995,0.77097,0.82508,0.81999,0.74282,0.000717875,0.000717875,0.000717875
45,1271.95,0.90377,0.73704,0.80195,0.99072,0.99819,0.995,0.76193,0.81166,0.82092,0.74177,0.0007055,0.0007055,0.0007055
46,1301.38,0.86761,0.72868,0.79187,0.98972,1,0.995,0.77376,0.78412,0.80775,0.7393,0.000693125,0.000693125,0.000693125
47,1332.22,0.91572,0.7236,0.80737,0.97921,0.99722,0.995,0.73811,0.85776,0.9057,0.7431,0.00068075,0.00068075,0.00068075
48,1363.36,0.90723,0.72988,0.79683,0.97775,0.99793,0.995,0.76161,0.77838,0.83179,0.73399,0.000668375,0.000668375,0.000668375
49,1394.11,0.86216,0.74972,0.79305,0.98203,0.99914,0.995,0.78426,0.74659,0.79892,0.73294,0.000656,0.000656,0.000656
50,1422.1,0.82372,0.70483,0.8125,0.99015,0.99649,0.995,0.75975,0.81602,0.82224,0.73524,0.000643625,0.000643625,0.000643625
51,1450.38,0.8166,0.66889,0.80066,0.99135,1,0.995,0.74257,0.81855,0.76823,0.73161,0.00063125,0.00063125,0.00063125
52,1479.88,0.83233,0.64967,0.78441,0.99206,1,0.995,0.76108,0.7912,0.71308,0.73376,0.000618875,0.000618875,0.000618875
53,1509.42,0.84175,0.72873,0.8012,0.99136,1,0.995,0.78549,0.74213,0.68414,0.73478,0.0006065,0.0006065,0.0006065
54,1538.74,0.80926,0.63782,0.79662,0.98602,1,0.995,0.77282,0.74687,0.69435,0.73843,0.000594125,0.000594125,0.000594125
55,1568.77,0.84389,0.65455,0.82948,0.98352,1,0.995,0.7733,0.8097,0.74259,0.74455,0.00058175,0.00058175,0.00058175
56,1598.96,0.83325,0.65876,0.78376,0.98544,1,0.995,0.77495,0.74729,0.71795,0.74173,0.000569375,0.000569375,0.000569375
57,1630.68,0.81785,0.65453,0.80228,0.98722,1,0.995,0.7832,0.73019,0.72744,0.73811,0.000557,0.000557,0.000557
58,1661.4,0.86089,0.64708,0.78533,0.9864,1,0.995,0.7933,0.76208,0.73248,0.73459,0.000544625,0.000544625,0.000544625
59,1690.57,0.8303,0.63643,0.80498,0.97983,1,0.995,0.80587,0.74453,0.69422,0.73118,0.00053225,0.00053225,0.00053225
60,1719.63,0.80164,0.62412,0.78936,0.98623,1,0.995,0.75632,0.84097,0.65906,0.73505,0.000519875,0.000519875,0.000519875
61,1747.72,0.83831,0.62565,0.78879,0.99149,1,0.995,0.74221,0.85071,0.66038,0.73402,0.0005075,0.0005075,0.0005075
62,1775.74,0.7876,0.58821,0.81256,0.99537,1,0.995,0.76199,0.76451,0.63807,0.72974,0.000495125,0.000495125,0.000495125
63,1805.86,0.80952,0.60537,0.79003,0.99454,1,0.995,0.80588,0.68198,0.6161,0.73083,0.00048275,0.00048275,0.00048275
64,1834.97,0.86435,0.65886,0.80929,0.99471,1,0.995,0.80261,0.72233,0.64231,0.7328,0.000470375,0.000470375,0.000470375
65,1862.44,0.80242,0.61261,0.80498,0.9941,0.99866,0.995,0.8085,0.66765,0.62673,0.72805,0.000458,0.000458,0.000458
66,1889.62,0.83829,0.64834,0.7916,0.99317,0.99846,0.995,0.77129,0.76872,0.62766,0.72711,0.000445625,0.000445625,0.000445625
67,1917.12,0.78143,0.60273,0.78325,0.99387,1,0.995,0.80223,0.70179,0.60218,0.72466,0.00043325,0.00043325,0.00043325
68,1946.09,0.76179,0.58928,0.76337,0.99096,1,0.995,0.79622,0.69798,0.60861,0.72655,0.000420875,0.000420875,0.000420875
69,1975.29,0.81829,0.65525,0.80242,0.98846,1,0.995,0.78689,0.73976,0.64648,0.72923,0.0004085,0.0004085,0.0004085
70,2004.86,0.75825,0.58572,0.78215,0.98258,1,0.995,0.75749,0.77323,0.66848,0.73365,0.000396125,0.000396125,0.000396125
71,2033.81,0.80015,0.57026,0.79804,0.98234,1,0.995,0.76847,0.69304,0.64477,0.72993,0.00038375,0.00038375,0.00038375
72,2062.93,0.83158,0.59326,0.79537,0.98882,1,0.995,0.76371,0.69953,0.62862,0.72884,0.000371375,0.000371375,0.000371375
73,2091.96,0.7519,0.56782,0.77514,0.99017,1,0.995,0.76415,0.72406,0.62763,0.72939,0.000359,0.000359,0.000359
74,2120.14,0.76627,0.62825,0.77129,0.98824,1,0.995,0.80336,0.67574,0.58614,0.72922,0.000346625,0.000346625,0.000346625
75,2148.03,0.75507,0.54492,0.77713,0.98644,1,0.995,0.79922,0.6595,0.57265,0.72744,0.00033425,0.00033425,0.00033425
76,2177.22,0.7629,0.57268,0.78716,0.9847,1,0.995,0.80362,0.65233,0.57,0.72752,0.000321875,0.000321875,0.000321875
77,2205.56,0.74995,0.58043,0.79797,0.98494,1,0.995,0.80256,0.65869,0.56686,0.7274,0.0003095,0.0003095,0.0003095
78,2236.25,0.79552,0.57057,0.78996,0.99177,0.9993,0.995,0.78299,0.69674,0.58285,0.72983,0.000297125,0.000297125,0.000297125
79,2266.98,0.73153,0.5581,0.79875,0.99453,1,0.995,0.78568,0.68511,0.56785,0.72773,0.00028475,0.00028475,0.00028475
80,2294.47,0.77728,0.55258,0.77672,0.99348,1,0.995,0.812,0.63983,0.55002,0.72638,0.000272375,0.000272375,0.000272375
81,2322.08,0.74591,0.53735,0.77631,0.9933,1,0.995,0.79913,0.63628,0.54633,0.72589,0.00026,0.00026,0.00026
82,2350.53,0.7481,0.53467,0.77559,0.99294,1,0.995,0.76084,0.69902,0.5574,0.72894,0.000247625,0.000247625,0.000247625
83,2378.25,0.73811,0.52865,0.79602,0.9931,1,0.995,0.77143,0.66122,0.54438,0.7262,0.00023525,0.00023525,0.00023525
84,2406.96,0.80914,0.55475,0.78601,0.99215,0.99823,0.995,0.80817,0.66355,0.54485,0.72828,0.000222875,0.000222875,0.000222875
85,2435.53,0.74166,0.52432,0.77812,0.98731,1,0.995,0.75735,0.73813,0.56733,0.73269,0.0002105,0.0002105,0.0002105
86,2464,0.76679,0.53221,0.79572,0.98514,1,0.995,0.75526,0.78751,0.5696,0.73541,0.000198125,0.000198125,0.000198125
87,2492.16,0.69883,0.5298,0.78953,0.9881,1,0.995,0.7989,0.70369,0.5407,0.73087,0.00018575,0.00018575,0.00018575
88,2520.97,0.70959,0.53127,0.78205,0.99253,1,0.995,0.78949,0.73374,0.54838,0.73159,0.000173375,0.000173375,0.000173375
89,2547.85,0.68738,0.50391,0.807,0.99358,1,0.995,0.76041,0.75743,0.54949,0.73277,0.000161,0.000161,0.000161
90,2575.15,0.75999,0.53095,0.78955,0.99331,1,0.995,0.78365,0.73616,0.54136,0.73147,0.000148625,0.000148625,0.000148625
91,2601.8,0.72214,0.53228,0.79455,0.99355,1,0.995,0.82877,0.6212,0.5256,0.72495,0.00013625,0.00013625,0.00013625
92,2628.32,0.69175,0.54477,0.78285,0.99415,1,0.995,0.82979,0.61829,0.52482,0.72495,0.000123875,0.000123875,0.000123875
93,2655.02,0.62853,0.49623,0.78587,0.99425,1,0.995,0.83037,0.61929,0.52576,0.72517,0.0001115,0.0001115,0.0001115
94,2681.59,0.6898,0.52886,0.77951,0.99431,1,0.995,0.80601,0.63532,0.52824,0.72598,9.9125e-05,9.9125e-05,9.9125e-05
95,2708.48,0.64992,0.50642,0.77223,0.99443,1,0.995,0.80201,0.63362,0.52275,0.72673,8.675e-05,8.675e-05,8.675e-05
96,2735.05,0.65883,0.51663,0.78801,0.9945,1,0.995,0.80682,0.61057,0.5058,0.72486,7.4375e-05,7.4375e-05,7.4375e-05
97,2761.43,0.72106,0.52299,0.7756,0.99452,1,0.995,0.80811,0.60938,0.5037,0.72433,6.2e-05,6.2e-05,6.2e-05
98,2792.69,0.64033,0.49775,0.7912,0.99467,1,0.995,0.79503,0.61668,0.49932,0.72476,4.9625e-05,4.9625e-05,4.9625e-05
99,2822.65,0.63249,0.49369,0.79774,0.99483,1,0.995,0.79615,0.63248,0.49554,0.72612,3.725e-05,3.725e-05,3.725e-05
100,2854.36,0.65236,0.51825,0.77865,0.99498,1,0.995,0.79919,0.63693,0.4944,0.72617,2.4875e-05,2.4875e-05,2.4875e-05
