epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.54201,2.66417,5.656,2.7331,0.0006,0.125,0.02078,0.00416,2.47775,6.44995,2.71806,1.25e-05,1.25e-05,1.25e-05
2,15.1466,2.63384,5.23767,2.72513,0.00054,0.125,0.01561,0.00312,2.56801,6.54424,2.70844,3.67575e-05,3.67575e-05,3.67575e-05
3,22.88,2.61702,5.28805,2.7526,0.00046,0.125,0.00896,0.00213,2.68058,6.41042,2.70744,6.0025e-05,6.0025e-05,6.0025e-05
4,31.3126,2.56269,5.19086,2.68649,0.00249,0.375,0.03242,0.0035,2.60648,6.3722,2.53435,8.23025e-05,8.23025e-05,8.23025e-05
5,39.4894,2.17108,4.85658,2.30098,0.00341,0.5,0.05941,0.01078,2.76155,6.15538,2.58656,0.00010359,0.00010359,0.00010359
6,47.6636,2.07637,5.01156,2.13762,0.0004,0.125,0.01778,0.0063,2.8333,6.89565,2.60234,0.000123888,0.000123888,0.000123888
7,55.8527,1.96649,4.61401,2.08047,0.00066,0.25,0.03298,0.01372,3.01465,7.50075,2.74284,0.000143195,0.000143195,0.000143195
8,64.0085,1.95736,4.91595,1.96052,0.00039,0.125,0.04135,0.01449,2.89007,7.03818,2.61366,0.000161513,0.000161513,0.000161513
9,72.264,1.8286,4.65193,1.91493,0.00066,0.25,0.02129,0.00681,2.88946,8.47274,2.59485,0.00017884,0.00017884,0.00017884
10,80.3538,1.73532,4.52162,1.75246,0.00065,0.25,0.06306,0.03131,3.05848,7.34125,2.60287,0.000195178,0.000195178,0.000195178
11,88.9533,1.96984,4.66749,1.85674,0.0028,0.5,0.06588,0.03847,2.86619,6.51605,2.45644,0.000210525,0.000210525,0.000210525
12,97.4538,1.75928,4.25994,1.68081,0.00301,0.5,0.06769,0.04105,2.52039,6.37324,2.19913,0.000224883,0.000224883,0.000224883
13,106.103,1.61741,4.2206,1.60666,0.00326,0.625,0.0437,0.02124,2.41096,6.07547,2.18014,0.00023825,0.00023825,0.00023825
14,114.829,1.77861,4.19871,1.71173,0.00335,0.625,0.07067,0.02032,2.1125,5.73002,1.94934,0.000250627,0.000250627,0.000250627
15,123.225,1.57736,4.1901,1.61127,0.00148,0.5,0.06562,0.01294,1.98268,5.8589,1.8571,0.000262015,0.000262015,0.000262015
16,131.743,1.73972,4.11565,1.70014,0.00378,0.75,0.07691,0.01947,1.99684,5.58486,1.81749,0.000272412,0.000272412,0.000272412
17,140.186,1.53466,4.15339,1.52635,0.00359,0.75,0.03989,0.01835,1.97345,5.51469,1.80384,0.00028182,0.00028182,0.00028182
18,148.619,1.66107,3.9555,1.47988,0.0032,0.75,0.05378,0.03127,1.93971,5.28544,1.76138,0.000290237,0.000290237,0.000290237
19,156.977,1.61314,4.14374,1.56983,0.00293,0.75,0.05068,0.03065,1.8752,5.12385,1.62728,0.000297665,0.000297665,0.000297665
20,165.297,1.63679,3.76289,1.56315,0.00567,1,0.10392,0.05264,1.80501,4.82823,1.46044,0.000304103,0.000304103,0.000304103
21,173.572,1.55516,3.88312,1.54184,0.00267,0.75,0.10761,0.05343,1.7591,4.93549,1.49135,0.00030955,0.00030955,0.00030955
22,181.78,1.59176,3.54959,1.51879,0.0026,0.75,0.13111,0.06591,1.8215,5.0743,1.65322,0.000314008,0.000314008,0.000314008
23,189.676,1.77726,3.80346,1.66191,0.00254,0.75,0.14382,0.05611,1.89936,5.23952,1.89455,0.000317475,0.000317475,0.000317475
24,197.644,1.50119,3.96764,1.48063,0.00252,0.75,0.1334,0.05097,1.86438,5.13105,1.82067,0.000319953,0.000319953,0.000319953
25,206.033,1.56023,3.36381,1.4817,0.00435,1,0.14732,0.05464,1.76778,4.82091,1.6769,0.00032144,0.00032144,0.00032144
26,214.021,1.51589,3.61337,1.4887,0.00244,0.75,0.12519,0.06258,1.72429,4.7659,1.67596,0.000321938,0.000321938,0.000321938
27,222.088,1.683,3.76424,1.58057,0.00244,0.75,0.19948,0.10578,1.62017,4.70115,1.52851,0.000321445,0.000321445,0.000321445
28,230.02,1.74438,4.1511,1.60434,0.00244,0.75,0.19948,0.10578,1.62017,4.70115,1.52851,0.000319962,0.000319962,0.000319962
29,237.877,1.63715,3.59499,1.52412,0.00239,0.75,0.20886,0.12825,1.55342,4.63248,1.3716,0.00031749,0.00031749,0.00031749
30,245.9,1.41327,3.51793,1.38874,0.004,1,0.32163,0.20731,1.4872,4.58049,1.34111,0.000314028,0.000314028,0.000314028
31,253.735,1.61897,3.45673,1.50876,0.004,1,0.32163,0.20731,1.4872,4.58049,1.34111,0.000309575,0.000309575,0.000309575
32,261.766,1.55368,3.21782,1.4654,0.00392,1,0.29256,0.21037,1.47348,4.55664,1.43583,0.000304132,0.000304132,0.000304132
33,269.803,1.60092,3.42695,1.4456,0.00387,1,0.25921,0.18389,1.41234,4.36421,1.42722,0.0002977,0.0002977,0.0002977
34,277.708,1.26942,3.2773,1.35597,0.00387,1,0.25921,0.18389,1.41234,4.36421,1.42722,0.000290277,0.000290277,0.000290277
35,285.971,1.36741,3.16128,1.30655,0.00237,0.75,0.27362,0.17402,1.47181,4.43577,1.45462,0.000281865,0.000281865,0.000281865
36,295.001,1.49493,3.20302,1.37323,0.00236,0.75,0.28607,0.17772,1.55139,4.49061,1.51639,0.000272463,0.000272463,0.000272463
37,303.718,1.41733,2.98319,1.37945,0.00236,0.75,0.28607,0.17772,1.55139,4.49061,1.51639,0.00026207,0.00026207,0.00026207
38,312.253,1.42194,3.33623,1.43209,0.00361,1,0.28827,0.16104,1.50958,4.36289,1.45924,0.000250687,0.000250687,0.000250687
39,320.714,1.4099,2.84029,1.33418,0.00371,1,0.3506,0.19827,1.68441,4.51977,1.57658,0.000238315,0.000238315,0.000238315
40,329.023,1.56817,3.40947,1.48474,0.00371,1,0.3506,0.19827,1.68441,4.51977,1.57658,0.000224952,0.000224952,0.000224952
41,337.835,1.25671,3.22528,1.33079,0.0037,1,0.54123,0.38,1.61002,4.55957,1.57121,0.0002106,0.0002106,0.0002106
42,346.213,1.27551,3.36554,1.3976,0.39311,0.375,0.58069,0.33636,1.69427,4.42289,1.60197,0.000195258,0.000195258,0.000195258
