epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5095,4.23606,100.881,1.16686,0,0,0,0,3.70629,17.7799,1.07608,0.0001375,0.0001375,0.0001375
2,100.144,4.70614,16.9414,1.08432,0,0,0,0,3.78585,30.236,1.02573,0.000281807,0.000281807,0.000281807
3,153.008,4.33139,11.5412,1.00079,0,0,0,0,4.46044,16.9164,1.02373,0.000420175,0.000420175,0.000420175
4,203.456,4.50519,11.1803,0.96606,0,0,0,0,3.58153,14.1443,0.97784,0.000552602,0.000552602,0.000552602
5,254.135,4.16284,9.44467,0.96427,0,0,0,0,3.84949,14.5759,0.99139,0.00067909,0.00067909,0.00067909
6,304.502,4.14183,9.41027,0.95394,0,0,0,0,4.73908,34.795,1.14172,0.000799638,0.000799638,0.000799638
7,355.299,4.09862,9.05272,0.94567,0,0,0,0,3.85596,14.0228,0.99841,0.000914245,0.000914245,0.000914245
8,405.894,4.11708,8.67905,0.93906,0,0,0,0,3.58457,12.9267,0.99354,0.00102291,0.00102291,0.00102291
9,456.15,4.11063,8.19618,0.95834,0,0,0,0,3.65531,12.7527,0.98372,0.001052,0.001052,0.001052
10,506.634,4.10839,7.83235,0.94707,0,0,0,0,3.82091,11.6909,1.00041,0.00102725,0.00102725,0.00102725
11,557.331,4.06172,7.99888,0.92212,0.00147,0.03571,0.00198,0.00045,3.8209,11.5938,0.98437,0.0010025,0.0010025,0.0010025
12,608.435,3.92399,7.765,0.91915,0.00016,0.00446,9e-05,6e-05,3.68061,11.1146,0.9804,0.00097775,0.00097775,0.00097775
13,659.368,4.08748,7.5816,0.94624,0.00056,0.04018,0.00453,0.00174,4.00937,11.2737,1.02958,0.000953,0.000953,0.000953
14,714.505,4.1141,6.90214,0.95703,0.00106,0.06622,0.00061,0.00019,3.47949,11.013,0.98212,0.00092825,0.00092825,0.00092825
15,770.187,3.92941,6.83841,0.95984,0.00953,0.11286,0.01495,0.00306,3.93359,11.7735,1.02309,0.0009035,0.0009035,0.0009035
16,824.316,4.0709,6.66731,0.95971,3e-05,0.00446,2e-05,1e-05,3.91595,11.0976,1.009,0.00087875,0.00087875,0.00087875
17,878.883,3.96335,6.97314,0.92977,0.00026,0.04018,0.00017,6e-05,3.92344,10.966,1.01551,0.000854,0.000854,0.000854
18,933.439,3.91318,7.09095,0.92384,0.00012,0.02232,7e-05,2e-05,4.37413,13.5425,1.03589,0.00082925,0.00082925,0.00082925
19,988.006,3.84537,7.15276,0.94849,0.00053,0.05952,0.00066,0.00017,3.61749,9.904,1.00522,0.0008045,0.0008045,0.0008045
20,1042.04,3.94136,6.80245,0.94635,0,0,0,0,4.4561,11.803,1.05726,0.00077975,0.00077975,0.00077975
21,1096.82,3.80968,6.3473,0.94914,0.00036,0.05357,0.00036,0.00012,3.70169,9.93796,0.99513,0.000755,0.000755,0.000755
22,1151.41,3.93715,5.91119,0.90435,0.00038,0.05357,0.00081,0.00026,3.56315,8.37796,0.99145,0.00073025,0.00073025,0.00073025
23,1206.09,4.00457,6.09531,0.9273,0.00069,0.06399,0.00124,0.00036,3.55082,7.49426,0.99146,0.0007055,0.0007055,0.0007055
24,1264.3,4.0304,6.49868,0.9246,0.00252,0.12159,0.00419,0.00111,3.56382,7.1295,0.98627,0.00068075,0.00068075,0.00068075
25,1319.76,3.74438,5.36287,0.91915,0.00339,0.13855,0.00538,0.00142,3.55694,7.05834,0.97961,0.000656,0.000656,0.000656
26,1372.92,3.87084,5.87595,0.92131,0.00608,0.27465,0.00844,0.00213,4.04633,7.78137,1.01384,0.00063125,0.00063125,0.00063125
27,1432.07,4.03185,5.79949,0.94924,0.00429,0.12791,0.00602,0.00124,3.82351,7.1385,1.0009,0.0006065,0.0006065,0.0006065
28,1487.85,3.87422,5.93868,0.91603,0.00486,0.18099,0.00483,0.00129,4.36613,8.62996,1.01889,0.00058175,0.00058175,0.00058175
29,1541.69,4.03643,6.06787,0.90766,0.00432,0.1294,0.00418,0.00161,3.64377,7.219,0.9908,0.000557,0.000557,0.000557
30,1600.29,3.85176,5.67844,0.90241,0.00734,0.27897,0.01109,0.00295,3.62095,7.18766,0.98786,0.00053225,0.00053225,0.00053225
31,1656.75,4.09654,6.51965,0.91283,0.00331,0.12287,0.00244,0.00078,4.01869,7.63095,1.00009,0.0005075,0.0005075,0.0005075
32,1711.88,3.97034,6.18471,0.92531,0.00623,0.23737,0.01393,0.00314,3.52476,6.59748,0.97876,0.00048275,0.00048275,0.00048275
33,1768.75,3.95831,5.40221,0.91831,0.00604,0.21265,0.02137,0.00396,3.63769,6.36263,0.98703,0.000458,0.000458,0.000458
34,1821.64,4.04904,5.3148,0.90839,0.00499,0.12784,0.00447,0.00135,3.91067,6.85838,1.00036,0.00043325,0.00043325,0.00043325
35,1874.02,3.85276,5.11246,0.91328,0.00709,0.28449,0.00843,0.00239,3.73995,6.82346,0.98137,0.0004085,0.0004085,0.0004085
36,1926.41,3.69226,5.52402,0.88906,0.00595,0.28747,0.01291,0.00284,3.4154,6.13198,0.97381,0.00038375,0.00038375,0.00038375
37,1979.29,3.83235,5.62315,0.89433,0.00474,0.23201,0.00796,0.00174,3.76965,6.36653,0.99534,0.000359,0.000359,0.000359
38,2028.93,3.78385,5.2161,0.89784,0.00869,0.31318,0.01953,0.00531,3.46471,6.03685,0.97578,0.00033425,0.00033425,0.00033425
39,2082.38,3.77594,5.21087,0.88752,0.00573,0.17282,0.00627,0.00197,3.781,6.36089,0.98862,0.0003095,0.0003095,0.0003095
40,2135.8,3.71183,5.29076,0.8978,0.00669,0.23284,0.0194,0.00408,3.51813,6.00853,0.97662,0.00028475,0.00028475,0.00028475
41,2189.49,3.68747,5.43017,0.90991,0.0065,0.22995,0.01574,0.0034,3.51669,5.97413,0.97675,0.00026,0.00026,0.00026
42,2238.36,3.71542,5.7924,0.88529,0.01123,0.33089,0.03143,0.00961,3.81734,6.32674,0.98787,0.00023525,0.00023525,0.00023525
43,2286.39,3.71544,5.2305,0.91118,0.01014,0.25552,0.00996,0.00246,4.23839,7.3114,1.02845,0.0002105,0.0002105,0.0002105
44,2340.59,3.81751,5.41802,0.93115,0.00909,0.20572,0.02304,0.00448,3.5811,6.05697,0.97679,0.00018575,0.00018575,0.00018575
45,2399.61,3.74589,5.41296,0.89189,0.01098,0.29567,0.028,0.00671,3.52827,5.86976,0.97265,0.000161,0.000161,0.000161
46,2461.34,3.55825,4.81693,0.88392,0.0083,0.30235,0.02681,0.00718,3.68727,5.92354,0.98083,0.00013625,0.00013625,0.00013625
47,2516.98,3.5687,5.0968,0.89157,0.0166,0.06796,0.00682,0.00192,3.74118,5.93363,0.98924,0.0001115,0.0001115,0.0001115
48,2573.56,3.66825,5.10034,0.89948,0.02046,0.07317,0.00665,0.00198,3.69009,5.84542,0.98779,8.675e-05,8.675e-05,8.675e-05
49,2628.44,3.70847,4.82931,0.87878,0.51248,0.08929,0.0299,0.00632,3.58084,5.69478,0.97678,6.2e-05,6.2e-05,6.2e-05
50,2685.28,3.66433,4.78622,0.89755,0.51206,0.08036,0.02962,0.00614,3.57569,5.69434,0.97659,3.725e-05,3.725e-05,3.725e-05
